title,date
В МАИ разработали новую методику прогнозирования срока службы деталей из композитов,2026-09
В МАИ разрабатывают методологию комплексного медико-технического обеспечения дальних космических полётов,2026-09
В МАИ исследовали механизмы разрушения композитов для повышения безопасности авиаконструкций,2026-08
Студент МАИ разрабатывает проект экологичного двигателя для энергообеспечения объектов связи и навигации в условиях Арктики,2026-08
В МАИ разрабатывают механизм для улучшения манёвренности самолётов,2026-08
Метод МАИ для расчёта композитного крыла в разы ускорит создание самолётов новых поколений,2026-08
Учёные МАИ нашли способ упростить модель усталостной прочности композитов,2026-08
В МАИ разработали модернизированную интеллектуальную платформу управления беспилотниками,2026-08
В МАИ разрабатывают инновационный метод волновой диагностики авиационных материалов с применением ИИ,2026-08
ИИ вместо опытов над животными: нейросеть МАИ и Сколтеха оперативно оценивает токсичность веществ на основе наночастиц,2026-08
В МАИ разрабатывают беспилотную систему для мониторинга лесов,2026-08
В МАИ создали первый российский двигатель на криптоне для малых спутников,2026-08
Студент МАИ разработал первый российский нейромодуль для слуховых аппаратов с выборочным шумоподавлением,2026-08
"Модель здорового человека, созданная в МАИ, поможет адаптироваться на Марсе",2026-07
Студент МАИ разработал миниатюрный мембранный фильтр для удешевления биоинженерных исследований,2026-07
В МАИ создали проект шлюзового отсека обитаемой базы на Луне,2026-07
"В МАИ рассчитали, как безопасно раскручивать и останавливать несущий винт вертолёта при экстремальном ветре",2026-07
В МАИ разрабатывают устройство для тестирования результатов мышечной реабилитации космонавтов,2026-07
Студентка МАИ разработала интеллектуальную систему блокировки багажных полок самолётов,2026-07
Студентка МАИ создала ИИ-помощника для слабовидящих пассажиров общественного транспорта,2026-07
"Первая отечественная форсунка, созданная в МАИ, поможет очистить обочины от борщевика",2026-07
В МАИ разрабатывают устройство для точного совмещения частей кости при переломах,2026-07
В МАИ создали беспилотную грузовую платформу для оптимизации внутренней логистики предприятий,2026-07
Студентка МАИ спроектировала уникальный браслет-массажёр для запястья,2026-07
В МАИ ищут альтернативу курьерам: дроны самолётного типа ускорят доставку грузов,2026-07
Разработка МАИ поможет повысить эффективность исследований в области фундаментальной физики,2026-07
Новая разработка МАИ поможет быстрее определять износ тормозных колодок самолёта,2026-06
Студенты МАИ создают «летающий пикап» для дронов,2026-06
Студенты МАИ создали ИИ-репетитора для подготовки к ЕГЭ,2026-06
Умный алгоритм: новая программа МАИ находит дефекты в композитах в тысячи раз быстрее человека,2026-06
В МАИ успешно испытали антенну кубсата‑ретранслятора для исследования Венеры,2026-06
Учёные МАИ и ОИВТ РАН нашли способ снизить углеродный след при добыче нефти,2026-06
Аспирантка МАИ разрабатывает новые материалы для обеспечения тяги космических двигателей,2026-06
В четвёртом измерении безопасности: инженеры МАИ внедрили новый способ проверки прочности авиационных деталей,2026-06
Космическая экология: зачем человечеству учиться создавать биосферу вне Земли,2026-06
Специалисты МАИ совершенствуют системы дальней космической связи для аппаратов с электроракетными двигателями,2026-06
Точно в цель: студенты МАИ создали беспилотник для сброса грузов в заданный сектор,2026-06
Разработка МАИ увеличит срок работы малых спутников на орбите Земли,2026-06
