title,date
Биоэкономика в России: новый выпуск ежемесячного дайджеста Плехановского университета,2026-09
Ученые Плехановского университета создали добавку для модификации полиэтилена и полипропилена,2026-08
Магистратура будущего: РЭУ им. Г.В. Плеханова запускает персональные траектории развития студентов,2026-08
Молодёжная наука в Плехановском университете — путь к вершинам профессионального мастерства,2026-08
Молодые ученые Плехановского университета – в финале XI Всероссийского конкурса научно-исследовательских работ студентов и аспирантов «Наука будущего – наука молодых»,2026-07
Ученые Плехановского университета выиграли грант РНФ на разработку интеллектуальной системы диагностики когнитивных нарушений,2026-07
Сотрудники Плехановского университета разработали цифровой комплекс в сфере государственного управления,2026-07
Плехановский университет — на II Форуме «Россия и мир: тренды здорового долголетия»,2026-07
Учёные РЭУ им. Г.В. Плеханова и Федерального центра медицины катастроф НМХЦ им. Н.И. Пирогова Минздрава России создают самообучающийся ИИ для поддержки принятия решений в медицине катастроф,2026-07
Химики Плехановского университета разрабатывают линейку биоразлагаемых материалов на основе полиэтилена,2026-07
Научные сотрудники РЭУ им. Г.В. Плеханова представили доклады на профессиональной конференции «Нева Ингредиентс 2026»,2026-07
Сотрудники РЭУ им. Г.В. Плеханова представили доклад о технологиях ИИ в образовании на научной конференции AIED 2026 в Сеуле,2026-07
Ученые Плехановского университета совершили прорыв в диагностике аутизма на основе искусственного интеллекта и анализа сложных сетей мозга,2026-07
В Плехановском университете провели масштабное социологическое исследование патриотической идентичности разных поколений москвичей,2026-07
Сотрудники РЭУ им. Г.В. Плеханова – на VIII Международной научно-практической конференции по развитию агропромышленного комплекса в Курской области,2026-07
Директор НИИ прикладного искусственного интеллекта и цифровых решений Плехановки Александр Храмов представил доклад о применении ИИ в медицинском образовании на заседании Рабочей группы по цифровой медицине ТПП РФ,2026-07
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2026-07
Плехановские учёные разработали технологию переработки резины в сверхтвердый стройматериал,2026-07
Студенты проекта ТОП-ИИ подтвердили высокое качество математической подготовки во внутривузовской олимпиаде,2026-06
Плехановский университет провел отраслевую конференцию «Закваски и Ферменты» для обеспечения технологического суверенитета молочной отрасли,2026-06
В РЭУ им. Г.В. Плеханова обсудили цифровизацию контроля качества школьного питания,2026-06
Ректор Плехановского университета Иван Лобанов в авторской колонке рассказал «Коммерсанту» о роли ИИ в образовании,2026-06
Прочнее бетона: плехановские ученые запатентовали технологию переработки резины в сверхтвердый стройматериал,2026-06
В РЭУ им. Г.В. Плеханова создан цифровой образовательный комплекс для трансфера и коммерциализации результатов научных исследований,2026-06
Эксперты Плехановского университета представили исследование о применимости ИИ для Центробанка РФ на международной конференции в Марокко,2026-06
Биоэкономика в России: годовой дайджест Плехановского университета,2026-06
Прорыв в госуправлении: проект РЭУ им. Г.В. Плеханова победил в международной премии «Гравитация»,2026-06
Учёные РЭУ представили перспективные научные проекты в Республике Чувашия,2026-06
«ЦИФРАТЕХ: Индустрия цифровых технологий для бизнеса и образования 2026»: научно-практическая конференция в Плехановском университете,2026-06
III Всероссийский конкурс научных проектов студентов и школьников в области устойчивого развития и экономики замкнутого цикла в Плехановке: итоги и результаты,2026-06
Трансформация рынка труда в субъектах Российской Федерации: ученые РЭУ им. Г.В. Плеханова разработали веб-приложение для визуализации данных,2026-06
Учёные РЭУ им. Г.В. Плеханова презентовали фармакологам результаты проекта о совместимости лекарственных препаратов,2026-06
«Повышение производительности труда в университетах»: новый выпуск аналитического сборника Плехановского университета,2026-06
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2026-06
Дорожная карта на мировой рынок: исследование Плехановского университета — в помощь отечественному бизнесу,2026-05
Руководители ведущих научных институтов страны выступили с докладами на XV Абалкинских чтениях в Плехановском университете,2026-05
Новые горизонты городской логистики: ученые Плехановского университета создают цифровые модели будущего,2026-05
Путь к устойчивому будущему: итоги совместной с КНР реализации гранта РНФ по управлению твердыми коммунальными отходами,2026-05
Учёными Плехановского университета завершено исследование о науке и образовании в СССР,2026-05
В Плехановском университете разработана образовательная игра «Биоэкономика»,2026-05
"Плехановский университет про кадры, инновации и биотехнологии на юбилейной отраслевой конференции «ПроКрахмал 2026: от сырья к биоэкономике»",2026-05
Управление градостроительством Москвы: успешное сотрудничество Плехановского университета с институтом генплана города,2026-05
В Плехановском университете создана цифровая система компетенций для подготовки кадров по биоэкономике,2026-05
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2026-05
Плехановский университет и НМХЦ им. Н.И. Пирогова создают доменно-адаптированное ИИ-решение для медицины катастроф,2026-05
Биоэкономика будущего: Плехановский университет — обладатель золотой медали форума «РосБиоТех»,2026-04
Новый шаг для развития российских горнолыжных курортов: в РЭУ им. Г.В. Плеханова создана универсальная модель управления,2026-04
Университет как центр притяжения талантливой молодежи: итоги 39-х Международных Плехановских чтений,2026-04
Эксперты Плехановки обозначили роль искусственного интеллекта в будущем статистики стран ЕАЭС на международном семинаре,2026-04
Ведущие учёные Плехановки представили свои проекты на Всероссийском лектории Российского научного фонда в Плехановском университете,2026-04
Руководитель Студенческого научного общества представила программу развития на совещании СНО вузов Москвы и области,2026-04
В R&D центре пищевых биотехнологий создали финиковые батончики для борьбы со стрессом,2026-04
Ученые Плехановки разработали рекомендации по снижению потерь и сохранению пищевой ценности плодоовощной продукции,2026-04
Умная упаковка и сенсорные технологии: Плехановский университет представил новые решения для готовой еды,2026-04
В Плехановском университете разработали новый метод диагностики неврологических расстройств с помощью искусственного интеллекта,2026-04
В Плехановском университете рассмотрели концепцию перехода к модели приумножения природы,2026-04
Новые горизонты муниципального управления: Всероссийская научно-практическая конференция в Плехановском университете,2026-04
Математика для современного ИТ-специалиста: гостевая лекция для студентов Плехановки в рамках реализации проекта «Топ-ИТ»,2026-04
Делегация из Вологды ознакомилась с работой Ситуационного центра социально-экономического развития регионов РФ Плехановского университета,2026-04
Систему для улучшения качества интегральных схем на основе ИИ создают учёные Плехановского университета,2026-04
Градостроительство в век технологий: Плехановка внедряет концепцию «Индустрия 4.0» на строительных площадках Москвы,2026-04
В Плехановском университете создан метод диагностики неврологических расстройств с помощью искусственного интеллекта,2026-04
Ученые филиала РЭУ в ОАЭ запатентовали ИИ-систему для адаптивной лучевой терапии,2026-04
На семинаре стран АСЕАН в Джакарте эксперты Плехановки представили подходы к улучшению показателей энергетической статистики,2026-04
ППК РЭО: в Плехановском университете состоится международная конференция по экологии,2026-04
Плехановцы прошли мастер-класс по быстрому созданию приложений в рамках проекта «Топ-ИИ»,2026-04
Плехановцы прошли мастер-класс по быстрому созданию приложений в рамках проекта «Топ-ИИ»,2026-04
Качество 4.0 и устойчивая экономика: XII Церевитиновские чтения в Плехановском университете,2026-04
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2026-04
Учёные филиала Плехановского университета в ОАЭ запатентовали ИИ-систему для адаптивной лучевой терапии,2026-04
В Плехановском университете обсудили роль креативных индустрий в инновационном развитии регионов России,2026-04
Более 100 участников и свыше 80 докладов: в РЭУ завершились 39-е «Плехановские Чтения»,2026-04
Плехановский университет представил свои разработки экспертам Центра технологического лидерства и АО «Газпромбанк»,2026-04
В Плехановском университете обсудили ключевые вызовы развития добросовестной конкуренции в эпоху цифровизации,2026-04
Экосистема ИИ в Плехановском университете: всё о работе НИИ прикладного искусственного интеллекта и цифровых решений,2026-03
Биотехнологии будущего: лаборатория «Перспективные агро-аквабиотехнологии» РЭУ им. Г.В. Плеханова меняет агропродовольственный сектор  и сокращает потери урожая плодоовощной продукции,2026-03
Экосистема ИИ в Плехановском университете: всё о Научной лаборатории «Гетерогенные компьютерные системы» РЭУ им. Г.В. Плеханова,2026-03
Плехановский университет — в числе победителей V юбилейного Конкурса студенческих научных обществ на реализацию гранта в размере 3 млн. рублей,2026-03
Будущее тренинга и коучинга обсудили в Плехановском университете на международной конференции,2026-03
В РЭУ им. Г.В. Плеханова представили комплексный взгляд на этическое регулирование нейротехнологий и искусственного интеллекта,2026-03
"СНО Плехановки выиграл грант 3 млн. рублей в V конкурсе студенческих научных сообществ Минобрнауки России, состоявшемся в Плехановском университете",2026-03
Плехановский университет успешно представил итоги реализации проекта ТОП-ИИ за 2025 год,2026-03
Хасбулатовские чтения в Плехановском университете: актуальные вызовы мировой экономики обсудили ведущие учёные на всероссийской конференции,2026-03
Безопасную одноразовую посуду для горячих напитков определили ученые РЭУ им. Г.В. Плеханова,2026-03
«Золото вечной мерзлоты»: как добыча ископаемой мамонтовой кости меняет экономику Севера. Итоги исследования учёных Плехановского университета,2026-03
Плехановский университет представил результаты исследований на практической конференции «Вторая жизнь полимерных материалов» в Нижнем Новгороде,2026-03
Эксперт Плехановки об интеграции науки в производственный процесс на деловом форуме Agrocon Expo,2026-03
Антимикробный и экологичный: химики Плехановского университета разработали новый биополимер,2026-03
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2026-03
В Плехановском университете открыта брендированная аудитория компаний Loginom и Visiology,2026-03
Полимеры для защиты природных ресурсов: доклады плехановских учёных представлены на конференции РАН,2026-03
Не имеет аналогов в мире: в Плехановском университете подвели итоги реализации проекта РНФ по снижению рисков полифармакотерапии,2026-03
"Плехановский университет на Форуме будущих технологий, посвященном развитию биоэкономики в России, с участием Президента РФ Владимира Путина",2026-02
Выборы лидеров студенческой и молодёжной науки в Плехановском университете: новые имена и амбициозные планы на 2026 год,2026-02
Ученые Плехановского университета разрабатывают новые образовательные программы по партнерскому финансированию: первые итоги НИР,2026-02
Многоязычие и современные образовательные ИИ-технологии: международная конференция в Плехановском университете,2026-02
В Плехановском университете обсудили проблемы развития современных финансовых рынков в условиях новой экономики,2026-02
Эксперт Плехановского университета представил концепции экологического благополучия населения с помощью переработки отходов на международной конференции в Астане,2026-02
Плехановский университет – на Первом Всероссийском форуме научных школ «Научные школы: кузница научных кадров и инноваций»,2026-02
